#,nombre,fase,color_2_prueba,altura_m,peso_kg,mega,forma_regional,metodo,mejor_stat,detalle_pokeapi
54,Psyduck,FASE 1,Rojo,0.8,19.6,no,no,NINGUNO,At. Esp.,
55,Golduck,FASE 2,ninguno,1.7,76.6,no,no,NIVEL,At. Esp.,level-up version_group=red-blue min_level=33
56,Mankey,FASE 1,Blanco,0.5,28.0,no,no,NINGUNO,Ataque,
57,Primeape,FASE 2,Blanco,1.0,32.0,no,no,NIVEL,Ataque,level-up version_group=red-blue min_level=28
58,Growlithe,FASE 1,Amarillo,0.7,19.0,no,Hisui,NINGUNO,Ataque + At. Esp.,
59,Arcanine,FASE 2,Blanco,1.9,155.0,no,Hisui,PIEDRA,Ataque,use-item version_group=red-blue item=fire-stone
60,Poliwag,FASE 1,Blanco,0.6,12.4,no,no,NINGUNO,Velocidad,
61,Poliwhirl,FASE 2,Blanco,1.0,20.0,no,no,NIVEL,Velocidad,level-up version_group=red-blue min_level=25
62,Poliwrath,FASE 3,Blanco,1.3,54.0,no,no,PIEDRA,Ataque + Defensa,use-item version_group=red-blue item=water-stone
63,Abra,FASE 1,Amarillo,0.9,19.5,su evolución,no,NINGUNO,At. Esp.,
64,Kadabra,FASE 2,Amarillo,1.3,56.5,su evolución,no,NIVEL,At. Esp.,level-up version_group=red-blue min_level=16
65,Alakazam,FASE 3,Amarillo,1.5,48.0,sí,no,INTERCAMBIO,At. Esp.,trade version_group=red-blue
66,Machop,FASE 1,Verde,0.8,19.5,no,no,NINGUNO,Ataque,
67,Machoke,FASE 2,Morado,1.5,70.5,no,no,NIVEL,Ataque,level-up version_group=red-blue min_level=28
68,Machamp,FASE 3,ninguno,1.6,130.0,no,no,INTERCAMBIO,Ataque,trade version_group=red-blue
69,Bellsprout,FASE 1,Amarillo,0.7,4.0,su evolución,no,NINGUNO,Ataque,
70,Weepinbell,FASE 2,Amarillo,1.0,6.4,su evolución,no,NIVEL,Ataque,level-up version_group=red-blue min_level=21
71,Victreebel,FASE 3,Amarillo,1.7,15.5,sí,no,PIEDRA,Ataque,use-item version_group=red-blue item=leaf-stone
72,Tentacool,FASE 1,Rojo,0.9,45.5,no,no,NINGUNO,Def. Esp.,
73,Tentacruel,FASE 2,Gris,1.6,55.0,no,no,NIVEL,Def. Esp.,level-up version_group=red-blue min_level=30
74,Geodude,FASE 1,Amarillo,0.4,20.0,no,Alola,NINGUNO,Defensa,
75,Graveler,FASE 2,Gris,1.0,105.0,no,Alola,NIVEL,Defensa,level-up version_group=red-blue min_level=25
76,Golem,FASE 3,Amarillo,1.4,300.0,no,Alola,INTERCAMBIO,Defensa,trade version_group=red-blue
77,Ponyta,FASE 1,Rojo,1.0,30.0,no,Galar,NINGUNO,Velocidad,
78,Rapidash,FASE 2,Rojo,1.7,95.0,no,Galar,NIVEL,Velocidad,level-up version_group=red-blue min_level=40
79,Slowpoke,FASE 1,Blanco,1.2,36.0,su evolución,Galar,NINGUNO,PS,
80,Slowbro,FASE 2,Gris,1.6,78.5,sí,Galar,NIVEL,Defensa,level-up version_group=red-blue min_level=37
81,Magnemite,FASE 1,Verde,0.3,6.0,no,no,NINGUNO,At. Esp.,
82,Magneton,FASE 2,Blanco,1.0,60.0,no,no,NIVEL,At. Esp.,level-up version_group=red-blue min_level=30
83,Farfetch’d,FASE 1,Amarillo,0.8,15.0,no,Galar,NINGUNO,Ataque,
84,Doduo,FASE 1,ninguno,1.4,39.2,no,no,NINGUNO,Ataque,
85,Dodrio,FASE 2,Rojo,1.8,85.2,no,no,NIVEL,Ataque + Velocidad,level-up version_group=red-blue min_level=31
86,Seel,FASE 1,Azul,1.1,90.0,no,no,NINGUNO,Def. Esp.,
87,Dewgong,FASE 2,ninguno,1.7,120.0,no,no,NIVEL,Def. Esp.,level-up version_group=red-blue min_level=34
88,Grimer,FASE 1,Rosa,0.9,30.0,no,Alola,NINGUNO,PS + Ataque,
89,Muk,FASE 2,Rosa,1.2,30.0,no,Alola,NIVEL,PS + Ataque,level-up version_group=red-blue min_level=38
90,Shellder,FASE 1,Rojo,0.3,4.0,no,no,NINGUNO,Defensa,
91,Cloyster,FASE 2,Rosa,1.5,132.5,no,no,PIEDRA,Defensa,use-item version_group=red-blue item=water-stone
92,Gastly,FASE 1,Rosa,1.3,0.1,su evolución,no,NINGUNO,At. Esp.,
93,Haunter,FASE 2,Rojo,1.6,0.1,su evolución,no,NIVEL,At. Esp.,level-up version_group=red-blue min_level=25
94,Gengar,FASE 3,ninguno,1.5,40.5,sí,no,INTERCAMBIO,At. Esp.,trade version_group=red-blue
95,Onix,FASE 1,Blanco,8.8,210.0,su evolución,no,NINGUNO,Defensa,
96,Drowzee,FASE 1,Marrón,1.0,32.4,no,no,NINGUNO,Def. Esp.,
97,Hypno,FASE 2,ninguno,1.6,75.6,no,no,NIVEL,Def. Esp.,level-up version_group=red-blue min_level=26
98,Krabby,FASE 1,Marrón,0.4,6.5,no,no,NINGUNO,Ataque,
99,Kingler,FASE 2,Marrón,1.3,60.0,no,no,NIVEL,Ataque,level-up version_group=red-blue min_level=28
100,Voltorb,FASE 1,Gris,0.5,10.4,no,Hisui,NINGUNO,Velocidad,
101,Electrode,FASE 2,Blanco,1.2,66.6,no,Hisui,NIVEL,Velocidad,level-up version_group=red-blue min_level=30
102,Exeggcute,FASE 1,Blanco,0.4,2.5,no,no,NINGUNO,Defensa,
103,Exeggutor,FASE 2,Verde,2.0,120.0,no,Alola,PIEDRA,At. Esp.,use-item version_group=red-blue item=leaf-stone
104,Cubone,FASE 1,Blanco,0.4,6.5,no,no,NINGUNO,Defensa,
105,Marowak,FASE 2,Blanco,1.0,45.0,no,Alola,NIVEL,Defensa,level-up version_group=red-blue min_level=28
106,Hitmonlee,FASE 2,Rojo,1.5,49.8,no,no,NIVEL,Ataque,level-up version_group=gold-silver min_level=20 relative_physical_stats=1
107,Hitmonchan,FASE 2,Gris,1.4,50.2,no,no,NIVEL,Def. Esp.,level-up version_group=gold-silver min_level=20 relative_physical_stats=-1
108,Lickitung,FASE 1,Rojo,1.2,65.5,no,no,NINGUNO,PS,
109,Koffing,FASE 1,Amarillo,0.6,1.0,no,no,NINGUNO,Defensa,
110,Weezing,FASE 2,Amarillo,1.2,9.5,no,Galar,NIVEL,Defensa,level-up version_group=red-blue min_level=35
111,Rhyhorn,FASE 1,Azul,1.0,115.0,no,no,NINGUNO,Defensa,
112,Rhydon,FASE 2,ninguno,1.9,120.0,no,no,NIVEL,Ataque,level-up version_group=red-blue min_level=42
113,Chansey,FASE 2,Rojo,1.1,34.6,no,no,OBJETO,PS,level-up version_group=diamond-pearl held_item=oval-stone time_of_day=day
114,Tangela,FASE 1,ninguno,1.0,35.0,no,no,NINGUNO,Defensa,
115,Kangaskhan,ÚNICA,Rojo,2.2,80.0,sí,no,NINGUNO,PS,
116,Horsea,FASE 1,Amarillo,0.4,8.0,no,no,NINGUNO,Defensa + At. Esp.,
117,Seadra,FASE 2,Amarillo,1.2,25.0,no,no,NIVEL,Defensa + At. Esp.,level-up version_group=red-blue min_level=32
118,Goldeen,FASE 1,Blanco,0.6,15.0,no,no,NINGUNO,Ataque,
119,Seaking,FASE 2,Blanco,1.3,39.0,no,no,NIVEL,Ataque,level-up version_group=red-blue min_level=33
120,Staryu,FASE 1,Amarillo,0.8,34.5,su evolución,no,NINGUNO,Velocidad,
121,Starmie,FASE 2,Amarillo,1.1,80.0,sí,no,PIEDRA,Velocidad,use-item version_group=red-blue item=water-stone
122,Mr. Mime,FASE 2,Blanco,1.3,54.5,no,Galar,MOVIMIENTO,Def. Esp.,level-up version_group=diamond-pearl known_move=mimic
123,Scyther,FASE 1,Blanco,1.5,56.0,su evolución,no,NINGUNO,Ataque,
124,Jynx,FASE 2,Amarillo,1.4,40.6,no,no,NIVEL,At. Esp.,level-up version_group=gold-silver min_level=30
125,Electabuzz,FASE 2,ninguno,1.1,30.0,no,no,NIVEL,Velocidad,level-up version_group=gold-silver min_level=30
126,Magmar,FASE 2,Amarillo,1.3,44.5,no,no,NIVEL,At. Esp.,level-up version_group=gold-silver min_level=30
127,Pinsir,ÚNICA,Blanco,1.5,55.0,sí,no,NINGUNO,Ataque,
128,Tauros,ÚNICA,Rojo,1.4,88.4,no,Paldea,NINGUNO,Velocidad,
129,Magikarp,FASE 1,Blanco,0.9,10.0,su evolución,no,NINGUNO,Velocidad,
130,Gyarados,FASE 2,Blanco,6.5,235.0,sí,no,NIVEL,Ataque,level-up version_group=red-blue min_level=20
131,Lapras,ÚNICA,Blanco,2.5,220.0,no,no,NINGUNO,PS,
132,Ditto,ÚNICA,ninguno,0.3,4.0,no,no,NINGUNO,NO TIENE,
133,Eevee,FASE 1,Rojo,0.3,6.5,no,no,NINGUNO,Def. Esp.,
134,Vaporeon,FASE 2,ninguno,1.0,29.0,no,no,PIEDRA,PS,use-item version_group=red-blue item=water-stone required_pokemon_form=eevee
135,Jolteon,FASE 2,ninguno,0.8,24.5,no,no,PIEDRA,Velocidad,use-item version_group=red-blue item=thunder-stone required_pokemon_form=eevee
136,Flareon,FASE 2,Amarillo,0.9,25.0,no,no,PIEDRA,Ataque,use-item version_group=red-blue item=fire-stone required_pokemon_form=eevee
137,Porygon,FASE 1,Azul,0.8,36.5,no,no,NINGUNO,At. Esp.,
138,Omanyte,FASE 1,Marrón,0.4,7.5,no,no,NINGUNO,Defensa,
139,Omastar,FASE 2,Amarillo,1.0,35.0,no,no,NIVEL,Defensa,level-up version_group=red-blue min_level=40
140,Kabuto,FASE 1,Rojo,0.5,11.5,no,no,NINGUNO,Defensa,
141,Kabutops,FASE 2,Rojo,1.3,40.5,no,no,NIVEL,Ataque,level-up version_group=red-blue min_level=40
142,Aerodactyl,ÚNICA,Azul,1.8,59.0,sí,no,NINGUNO,Velocidad,
143,Snorlax,FASE 2,Blanco,2.1,460.0,no,no,AMISTAD,PS,level-up version_group=diamond-pearl min_happiness=160
144,Articuno,ÚNICA,ninguno,1.7,55.4,no,Galar,NINGUNO,Def. Esp.,
145,Zapdos,ÚNICA,ninguno,1.6,52.6,no,Galar,NINGUNO,At. Esp.,
146,Moltres,ÚNICA,Rojo,2.0,60.0,no,Galar,NINGUNO,At. Esp.,
147,Dratini,FASE 1,Blanco,1.8,3.3,su evolución,no,NINGUNO,Ataque,
148,Dragonair,FASE 2,Blanco,4.0,16.5,su evolución,no,NIVEL,Ataque,level-up version_group=red-blue min_level=30
149,Dragonite,FASE 3,Rojo,2.2,210.0,sí,no,NIVEL,Ataque,level-up version_group=red-blue min_level=55
150,Mewtwo,ÚNICA,Blanco,2.0,122.0,sí,no,NINGUNO,At. Esp.,
151,Mew,ÚNICA,ninguno,0.4,4.0,no,no,NINGUNO,NO TIENE,
152,Chikorita,FASE 1,ninguno,0.9,6.4,su evolución,no,NINGUNO,Defensa + Def. Esp.,
153,Bayleef,FASE 2,Amarillo,1.2,15.8,su evolución,no,NIVEL,Defensa + Def. Esp.,level-up version_group=gold-silver min_level=16
154,Meganium,FASE 3,Rojo,1.8,100.5,sí,no,NIVEL,Defensa + Def. Esp.,level-up version_group=gold-silver min_level=32
155,Cyndaquil,FASE 1,Rojo,0.5,7.9,no,no,NINGUNO,Velocidad,
156,Quilava,FASE 2,Rojo,0.9,19.0,no,no,NIVEL,At. Esp. + Velocidad,level-up version_group=legends-arceus min_level=17 region=hisui
157,Typhlosion,FASE 3,Azul,1.7,79.5,no,Hisui,NIVEL,At. Esp.,level-up version_group=gold-silver min_level=36
158,Totodile,FASE 1,ninguno,0.6,9.5,su evolución,no,NINGUNO,Ataque,
159,Croconaw,FASE 2,Amarillo,1.1,25.0,su evolución,no,NIVEL,Ataque + Defensa,level-up version_group=gold-silver min_level=18
160,Feraligatr,FASE 3,ninguno,2.3,88.8,sí,no,NIVEL,Ataque,level-up version_group=gold-silver min_level=30
161,Sentret,FASE 1,ninguno,0.8,6.0,no,no,NINGUNO,Ataque,
162,Furret,FASE 2,Amarillo,1.8,32.5,no,no,NIVEL,Velocidad,level-up version_group=gold-silver min_level=15
163,Hoothoot,FASE 1,Rojo,0.7,21.2,no,no,NINGUNO,PS,
164,Noctowl,FASE 2,Amarillo,1.6,40.8,no,no,NIVEL,PS,level-up version_group=gold-silver min_level=20
165,Ledyba,FASE 1,Amarillo,1.0,10.8,no,no,NINGUNO,Def. Esp.,
166,Ledian,FASE 2,Amarillo,1.4,35.6,no,no,NIVEL,Def. Esp.,level-up version_group=gold-silver min_level=18
167,Spinarak,FASE 1,Amarillo,0.5,8.5,no,no,NINGUNO,Ataque,
168,Ariados,FASE 2,Amarillo,1.1,33.5,no,no,NIVEL,Ataque,level-up version_group=gold-silver min_level=22
169,Crobat,FASE 3,Azul,1.8,75.0,no,no,AMISTAD,Velocidad,level-up version_group=gold-silver min_happiness=160
170,Chinchou,FASE 1,Amarillo,0.5,12.0,no,no,NINGUNO,PS,
171,Lanturn,FASE 2,Amarillo,1.2,22.5,no,no,NIVEL,PS,level-up version_group=gold-silver min_level=27
172,Pichu,FASE 1,Negro,0.3,2.0,su evolución,no,NINGUNO,Velocidad,
173,Cleffa,FASE 1,Blanco,0.3,3.0,su evolución,no,NINGUNO,Def. Esp.,
174,Igglybuff,FASE 1,ninguno,0.3,1.0,no,no,NINGUNO,PS,
175,Togepi,FASE 1,Gris,0.3,1.5,no,no,NINGUNO,Defensa + Def. Esp.,
176,Togetic,FASE 2,Gris,0.6,3.2,no,no,AMISTAD,Def. Esp.,level-up version_group=gold-silver min_happiness=160
177,Natu,FASE 1,Amarillo,0.2,2.0,no,no,NINGUNO,At. Esp. + Velocidad,
178,Xatu,FASE 2,Blanco,1.5,15.0,no,no,NIVEL,At. Esp. + Velocidad,level-up version_group=gold-silver min_level=25
179,Mareep,FASE 1,Azul,0.6,7.8,su evolución,no,NINGUNO,At. Esp.,
180,Flaaffy,FASE 2,Blanco,0.8,13.3,su evolución,no,NIVEL,At. Esp.,level-up version_group=gold-silver min_level=15
181,Ampharos,FASE 3,Blanco,1.4,61.5,sí,no,NIVEL,At. Esp.,level-up version_group=gold-silver min_level=30
182,Bellossom,FASE 3,Rojo,0.4,5.8,no,no,PIEDRA,Def. Esp.,use-item version_group=gold-silver item=sun-stone
183,Marill,FASE 2,Blanco,0.4,8.5,no,no,AMISTAD,PS,level-up version_group=ruby-sapphire min_happiness=160
184,Azumarill,FASE 3,Blanco,0.8,28.5,no,no,NIVEL,PS,level-up version_group=gold-silver min_level=18
185,Sudowoodo,FASE 2,Amarillo,1.2,38.0,no,no,MOVIMIENTO,Defensa,level-up version_group=diamond-pearl known_move=mimic
186,Politoed,FASE 3,Amarillo,1.1,33.9,no,no,INTERCAMBIO,Def. Esp.,trade version_group=gold-silver held_item=kings-rock
187,Hoppip,FASE 1,Verde,0.4,0.5,no,no,NINGUNO,Def. Esp.,
188,Skiploom,FASE 2,Amarillo,0.6,1.0,no,no,NIVEL,Velocidad,level-up version_group=gold-silver min_level=18
189,Jumpluff,FASE 3,Blanco,0.8,3.0,no,no,NIVEL,Velocidad,level-up version_group=gold-silver min_level=27
190,Aipom,FASE 1,Amarillo,0.8,11.5,no,no,NINGUNO,Velocidad,
191,Sunkern,FASE 1,Verde,0.3,1.8,no,no,NINGUNO,NO TIENE,
192,Sunflora,FASE 2,Verde,0.8,8.5,no,no,PIEDRA,At. Esp.,use-item version_group=gold-silver item=sun-stone
193,Yanma,FASE 1,Blanco,1.2,38.0,no,no,NINGUNO,Velocidad,
194,Wooper,FASE 1,Rosa,0.4,8.5,no,Paldea,NINGUNO,PS,
195,Quagsire,FASE 2,ninguno,1.4,75.0,no,no,NIVEL,PS,level-up version_group=gold-silver min_level=20
196,Espeon,FASE 2,Rosa,0.9,26.5,no,no,AMISTAD,At. Esp.,level-up version_group=gold-silver min_happiness=160 time_of_day=day required_pokemon_form=eevee
197,Umbreon,FASE 2,Azul,1.0,27.0,no,no,AMISTAD,Def. Esp.,level-up version_group=gold-silver min_happiness=160 time_of_day=night required_pokemon_form=eevee
198,Murkrow,FASE 1,Azul,0.5,2.1,no,no,NINGUNO,Velocidad,
199,Slowking,FASE 2,Blanco,2.0,79.5,no,Galar,INTERCAMBIO,Def. Esp.,trade version_group=gold-silver held_item=kings-rock
200,Misdreavus,FASE 1,Azul,0.7,1.0,no,no,NINGUNO,NO TIENE,
201,Unown,ÚNICA,Gris,0.5,5.0,no,no,NINGUNO,Ataque + At. Esp.,
202,Wobbuffet,FASE 2,ninguno,1.3,28.5,no,no,NIVEL,PS,level-up version_group=ruby-sapphire min_level=15
203,Girafarig,FASE 1,Negro,1.5,41.5,no,no,NINGUNO,At. Esp.,
204,Pineco,FASE 1,Azul,0.6,7.2,no,no,NINGUNO,Defensa,
205,Forretress,FASE 2,Rojo,1.2,125.8,no,no,NIVEL,Defensa,level-up version_group=gold-silver min_level=31
206,Dunsparce,FASE 1,Azul,1.5,14.0,no,no,NINGUNO,PS,
207,Gligar,FASE 1,Rosa,1.1,64.8,no,no,NINGUNO,Defensa,
208,Steelix,FASE 2,Azul,9.2,400.0,sí,no,INTERCAMBIO,Defensa,trade version_group=gold-silver held_item=metal-coat
209,Snubbull,FASE 1,Rojo,0.6,7.8,no,no,NINGUNO,Ataque,
210,Granbull,FASE 2,Rosa,1.4,48.7,no,no,NIVEL,Ataque,level-up version_group=gold-silver min_level=23
211,Qwilfish,FASE 1,Amarillo,0.5,3.9,no,Hisui,NINGUNO,Ataque,
212,Scizor,FASE 2,Blanco,1.8,118.0,sí,no,INTERCAMBIO,Ataque,trade version_group=gold-silver held_item=metal-coat
213,Shuckle,ÚNICA,Marrón,0.6,20.5,no,no,NINGUNO,Defensa + Def. Esp.,
214,Heracross,ÚNICA,ninguno,1.5,54.0,sí,no,NINGUNO,Ataque,
215,Sneasel,FASE 1,Azul,0.9,28.0,no,Hisui,NINGUNO,Velocidad,
216,Teddiursa,FASE 1,Rojo,0.6,8.8,no,no,NINGUNO,Ataque,
217,Ursaring,FASE 2,ninguno,1.8,125.8,no,no,NIVEL,Ataque,level-up version_group=gold-silver min_level=30
218,Slugma,FASE 1,ninguno,0.7,35.0,no,no,NINGUNO,At. Esp.,
219,Magcargo,FASE 2,Negro,0.8,55.0,no,no,NIVEL,Defensa,level-up version_group=gold-silver min_level=38
220,Swinub,FASE 1,ninguno,0.4,6.5,no,no,NINGUNO,NO TIENE,
221,Piloswine,FASE 2,ninguno,1.1,55.8,no,no,NIVEL,PS + Ataque,level-up version_group=gold-silver min_level=33
222,Corsola,FASE 1,ninguno,0.6,5.0,no,Galar,NINGUNO,Defensa + Def. Esp.,
223,Remoraid,FASE 1,Verde,0.6,12.0,no,no,NINGUNO,NO TIENE,
224,Octillery,FASE 2,Marrón,0.9,28.5,no,no,NIVEL,Ataque + At. Esp.,level-up version_group=gold-silver min_level=25
225,Delibird,ÚNICA,Blanco,0.9,16.0,no,no,NINGUNO,Velocidad,
226,Mantine,FASE 2,Azul,2.1,220.0,no,no,ESPECIAL,Def. Esp.,level-up version_group=diamond-pearl party_species=remoraid
227,Skarmory,ÚNICA,Azul,1.7,50.5,sí,no,NINGUNO,Defensa,
228,Houndour,FASE 1,ninguno,0.6,10.8,su evolución,no,NINGUNO,At. Esp.,
229,Houndoom,FASE 2,Blanco,1.4,35.0,sí,no,NIVEL,At. Esp.,level-up version_group=gold-silver min_level=24
230,Kingdra,FASE 3,ninguno,1.8,152.0,no,no,INTERCAMBIO,NO TIENE,trade version_group=gold-silver held_item=dragon-scale
231,Phanpy,FASE 1,ninguno,0.5,33.5,no,no,NINGUNO,PS,
232,Donphan,FASE 2,Blanco,1.1,120.0,no,no,NIVEL,Ataque + Defensa,level-up version_group=gold-silver min_level=25
233,Porygon2,FASE 2,Azul,0.6,32.5,no,no,INTERCAMBIO,At. Esp.,trade version_group=gold-silver held_item=up-grade
234,Stantler,FASE 1,Amarillo,1.4,71.2,no,no,NINGUNO,Ataque,
235,Smeargle,ÚNICA,Amarillo,1.2,58.0,no,no,NINGUNO,Velocidad,
236,Tyrogue,FASE 1,Rosa,0.7,21.0,no,no,NINGUNO,NO TIENE,
237,Hitmontop,FASE 2,Amarillo,1.4,48.0,no,no,NIVEL,Def. Esp.,level-up version_group=gold-silver min_level=20
238,Smoochum,FASE 1,Amarillo,0.4,6.0,no,no,NINGUNO,At. Esp.,
239,Elekid,FASE 1,ninguno,0.6,23.5,no,no,NINGUNO,Velocidad,
240,Magby,FASE 1,ninguno,0.7,21.4,no,no,NINGUNO,Velocidad,
241,Miltank,ÚNICA,Negro,1.2,75.5,no,no,NINGUNO,Defensa,
242,Blissey,FASE 3,Blanco,1.5,46.8,no,no,AMISTAD,PS,level-up version_group=gold-silver min_happiness=160
243,Raikou,ÚNICA,Gris,1.9,178.0,no,no,NINGUNO,At. Esp. + Velocidad,
244,Entei,ÚNICA,Blanco,2.1,198.0,no,no,NINGUNO,PS + Ataque,
245,Suicune,ÚNICA,Morado,2.0,187.0,no,no,NINGUNO,Defensa + Def. Esp.,
246,Larvitar,FASE 1,ninguno,0.6,72.0,su evolución,no,NINGUNO,Ataque,
247,Pupitar,FASE 2,Azul,1.2,152.0,su evolución,no,NIVEL,Ataque,level-up version_group=gold-silver min_level=30
248,Tyranitar,FASE 3,ninguno,2.0,202.0,sí,no,NIVEL,Ataque,level-up version_group=gold-silver min_level=55
249,Lugia,ÚNICA,Azul,5.2,216.0,no,no,NINGUNO,Def. Esp.,
250,Ho-Oh,ÚNICA,Amarillo,3.8,199.0,no,no,NINGUNO,Def. Esp.,
